competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo
202002;3;35;354990;S;9499500;1;782320;101;8;32;36;1;1;0;1;20;0;0;0;1664.2;1;0;1;202004;202202;1;1
202002;4;41;411440;N;8219999;1;411005;101;8;26;20;1;3;0;1;20;0;0;1;522.5;1;0;1;202002;202202;1;0
202002;4;42;421360;I;5611201;1;513505;101;7;38;44;6;3;0;1;20;0;0;0;1395;2;0;1;202004;202202;1;1
202002;3;35;355030;Q;8630504;1;322415;101;7;33;44;3;3;0;1;20;0;0;0;1352;1;0;1;202011;202202;1;1
202002;3;31;310900;N;8112500;1;715210;101;5;39;44;3;1;0;1;20;0;0;0;2500;6;0;1;202003;202202;1;1
202002;3;33;330455;F;4399199;-1;715315;101;5;57;39;1;1;0;1;40;0;0;0;2074.72;4;0;1;202008;202202;1;1
202002;3;35;355160;P;8591100;1;513205;101;7;47;44;1;3;0;1;20;0;0;0;1233.67;3;0;1;202002;202202;1;0
202002;1;11;110028;N;8211300;-1;514320;101;7;33;44;6;1;0;1;32;0;0;0;1144.91;10;0;1;202002;202202;1;0
202002;3;33;330455;P;8599601;1;333105;101;7;60;44;1;3;0;1;20;0;0;0;0;4;0;1;202002;202202;1;0
202002;3;33;330190;G;4511104;-1;521110;101;7;62;44;1;1;0;1;32;0;0;0;1320;5;0;1;202002;202202;1;0
202002;3;33;330190;G;4511104;-1;411005;101;6;40;44;1;1;0;1;32;0;0;0;1337;5;0;1;202002;202202;1;0
202002;4;41;410830;C;1091102;1;513205;101;1;42;44;1;3;0;1;20;0;0;0;1355;1;0;1;202002;202202;1;0
202002;2;29;292740;F;4211101;1;717020;101;4;37;44;3;1;0;1;20;0;0;0;1126.4;7;0;1;202002;202202;1;0
202002;3;35;355030;Q;8630504;1;422110;101;7;52;44;1;3;0;1;20;0;0;0;1308;1;0;1;202011;202202;1;1
202002;5;52;520870;F;4391600;-1;514225;101;7;31;44;3;3;0;1;31;0;0;0;1100;1;0;1;202010;202202;1;1
202002;3;35;355160;P;8591100;1;513205;101;7;38;24;1;3;0;1;20;0;0;0;672.91;3;0;1;202002;202202;1;0
202002;3;33;330190;G;4511104;-1;411005;101;7;34;44;1;3;0;1;32;0;0;0;1619;5;0;1;202002;202202;1;0
202002;3;35;355030;S;9609208;1;371410;101;7;24;44;6;1;0;1;20;0;0;0;1230.49;3;0;1;202002;202202;1;0
202002;3;35;354990;S;9499500;1;223505;101;9;28;36;6;3;0;1;20;0;0;0;3439;1;0;1;202004;202202;1;1
202002;5;51;510340;G;4530703;1;521110;101;5;39;44;2;1;0;1;20;0;0;0;1151.54;3;0;1;202007;202202;1;1
202002;3;35;355030;I;5620101;1;223710;101;9;54;44;3;1;0;1;20;0;0;0;2636.18;7;0;1;202003;202202;1;1
202002;1;11;110028;N;8211300;-1;514320;101;7;35;44;6;3;0;1;90;0;0;0;1094.46;10;0;1;202002;202202;1;0
202002;2;29;293210;Q;8610102;1;411010;101;7;47;40;3;3;0;1;20;0;0;0;1045;9;0;1;202002;202202;1;0
202003;2;29;293210;Q;8610102;1;514230;101;5;48;40;2;3;0;1;20;0;0;0;1045;9;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;6;34;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;1;16;160030;N;8230001;1;782310;101;7;34;44;3;1;0;1;20;0;0;0;1663.64;4;0;1;202009;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;47;44;2;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;2;29;293210;Q;8610102;1;411010;101;8;39;40;3;3;0;1;20;0;0;0;1045;9;0;1;202003;202202;1;0
202003;3;35;354680;G;4753900;1;521110;101;7;34;44;1;3;0;1;20;0;0;0;1045;1;0;1;202003;202202;1;0
202003;2;28;280280;I;5611201;1;311710;101;2;27;44;6;1;0;1;20;0;0;0;1045;1;0;1;202003;202202;1;0
202003;4;41;410690;F;4221903;1;992225;101;7;26;44;1;1;0;1;20;0;0;0;1343.8;5;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;5;62;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;40;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;350920;N;7810800;-1;784205;101;7;21;44;3;1;0;1;31;0;0;0;1650;3;0;1;202008;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;43;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;5;42;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;2;26;261160;P;8520100;1;231320;101;9;25;4;1;1;0;1;20;0;0;0;451.5;1;0;1;202003;202202;1;0
202003;3;35;350920;N;7810800;-1;391215;101;7;52;44;2;3;0;1;31;0;0;0;1615;3;0;1;202008;202202;1;1
202003;3;35;355030;A;113000;1;622110;101;7;58;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
202003;3;31;316210;K;6422100;-1;141710;101;9;38;0;1;3;0;1;31;0;0;9;10691.06;4;0;1;202003;202202;1;0
202003;3;35;355030;A;113000;1;622110;101;7;34;44;1;1;2;3;20;0;0;0;0;99;0;1;202006;202202;1;1
